Start Time,Duration,Run ID,Name,Source Type,Source Name,User,Status,batch_size,cov_coeff,dataset,dataset_dir,device,epochs,eval_dataset,featdim,logfile,lr,model,model_dir,sim_coeff,std_coeff,temperature,trainer,verbosity,weight_decay,workers,CIFAR100_accuracy,CIFAR100_rank,acc/top1,acc/top5,caltech101_accuracy,caltech101_rank,learning_rate,loss,rankme_rank
2023-12-04 05:32:55,8.3d,8e47e88c48cc4e8787635079d8b839c1,run_20231204_053257_vicreg,PROJECT,file:///home/wikman/GitRepos/johnwikman/rankme-reprod,wikman,FINISHED,1024,25,imagenet,_datasets,cuda,100,imagenet,128,logs/rankme.log,0.3,resnet18,_models,25,4,0.07,vicreg,0,1e-06,24,19.39,20.643688201904297,,,32.89170506912443,21.041423797607422,0.00632740137180194,3.8519787788391113,49.7969970703125
2023-12-04 04:34:16,8.3d,acb78e7a47534064bbe60a9f50fd0d67,run_20231204_043419_vicreg,PROJECT,file:///home/wikman/GitRepos/johnwikman/rankme-reprod,wikman,FINISHED,1024,25,imagenet,_datasets,cuda,100,imagenet,128,logs/rankme.log,0.3,resnet18,_models,25,2,0.07,vicreg,0,1e-06,24,16.54,6.314610004425049,,,29.723502304147466,6.9234395027160645,0.00632740137180194,1.954729437828064,8.091252326965332
2023-12-04 03:35:49,8.4d,da80837f9bb649f38960afed8b7ca96a,run_20231204_033552_vicreg,PROJECT,file:///home/wikman/GitRepos/johnwikman/rankme-reprod,wikman,FINISHED,1024,25,imagenet,_datasets,cuda,100,imagenet,128,logs/rankme.log,0.3,resnet18,_models,25,1,0.07,vicreg,0,1e-06,24,13.02,2.985375165939331,,,26.44009216589862,3.089212656021118,0.00632740137180194,0.983971357345581,3.3194053173065186
2023-12-04 02:37:17,8.4d,cb97b2300ce946518590c6dcb571a010,run_20231204_023719_vicreg,PROJECT,file:///home/wikman/GitRepos/johnwikman/rankme-reprod,wikman,FINISHED,1024,25,imagenet,_datasets,cuda,100,imagenet,128,logs/rankme.log,0.3,resnet18,_models,25,0.9,0.07,vicreg,0,1e-06,24,12.19,1.7857232093811035,,,26.32488479262673,1.89601731300354,0.00632740137180194,0.8870977163314819,2.0470662117004395
2023-12-04 01:38:39,8.5d,3125ed09fede47efac93e855e5bd3f9f,run_20231204_013841_vicreg,PROJECT,file:///home/wikman/GitRepos/johnwikman/rankme-reprod,wikman,FINISHED,1024,25,imagenet,_datasets,cuda,100,imagenet,128,logs/rankme.log,0.3,resnet18,_models,25,0.8,0.07,vicreg,0,1e-06,24,9.6,1.9359667301177979,,,21.947004608294932,1.9820740222930908,0.00632740137180194,0.7889384031295776,2.191385269165039
2023-12-04 00:39:56,8.5d,7abdc2856a424fe48b2b443d5ec84c35,run_20231204_003958_vicreg,PROJECT,file:///home/wikman/GitRepos/johnwikman/rankme-reprod,wikman,FINISHED,1024,25,imagenet,_datasets,cuda,100,imagenet,128,logs/rankme.log,0.3,resnet18,_models,25,0.7,0.07,vicreg,0,1e-06,24,7.56,1.406388521194458,,,23.847926267281107,1.5281168222427368,0.00632740137180194,0.6911748051643372,1.74361252784729
2023-12-03 23:41:50,8.5d,d8db13c99194482fa04c29bd8aa1a85b,run_20231203_234152_vicreg,PROJECT,file:///home/wikman/GitRepos/johnwikman/rankme-reprod,wikman,FINISHED,1024,25,imagenet,_datasets,cuda,100,imagenet,128,logs/rankme.log,0.3,resnet18,_models,25,0.6,0.07,vicreg,0,1e-06,24,1,1.0152008533477783,,,9.216589861751151,1.0057623386383057,0.00632740137180194,0.5940000414848328,1.023465871810913
2023-12-03 22:43:28,8.6d,03af92724d9f4a78b605aee79be23e07,run_20231203_224331_vicreg,PROJECT,file:///home/wikman/GitRepos/johnwikman/rankme-reprod,wikman,FINISHED,1024,25,imagenet,_datasets,cuda,100,imagenet,128,logs/rankme.log,0.3,resnet18,_models,25,0.5,0.07,vicreg,0,1e-06,24,1,1.0150654315948486,,,9.216589861751151,1.0056214332580566,0.00632740137180194,0.4950000047683716,1.023247241973877
2023-12-03 21:44:59,8.6d,88f5705d8d894256afecd411a4c1559d,run_20231203_214502_vicreg,PROJECT,file:///home/wikman/GitRepos/johnwikman/rankme-reprod,wikman,FINISHED,1024,25,imagenet,_datasets,cuda,100,imagenet,128,logs/rankme.log,0.3,resnet18,_models,25,0.4,0.07,vicreg,0,1e-06,24,1,1.0152010917663574,,,9.216589861751151,1.0057098865509033,0.00632740137180194,0.3959999978542328,1.0225049257278442
2023-12-03 20:47:14,8.7d,2145a4df8b3e4518b28bd2da3e4b2884,run_20231203_204716_vicreg,PROJECT,file:///home/wikman/GitRepos/johnwikman/rankme-reprod,wikman,FINISHED,1024,25,imagenet,_datasets,cuda,100,imagenet,128,logs/rankme.log,0.3,resnet18,_models,25,0.3,0.07,vicreg,0,1e-06,24,1,1.0146536827087402,,,9.216589861751151,1.0056926012039185,0.00632740137180194,0.2970000207424164,1.0234261751174927
